Day,Time,Website,Hop No,IP,Time1,Time2,Time3
09 Apr,13:00:02,www.washington.edu,1,192.168.25.1,0.598,0.402,0.403
09 Apr,13:00:02,www.washington.edu,2,139.222.0.1,3.999,7.209,10.214
09 Apr,13:00:02,www.washington.edu,3,10.0.0.1,7.738,4.372,10.842
09 Apr,13:00:02,www.washington.edu,4,193.62.92.125,1.266,1.192,1.133
09 Apr,13:00:02,www.washington.edu,5,10.11.1.0,1.465,1.402,1.428
09 Apr,13:00:02,www.washington.edu,6,146.97.141.116,4.303,4.753,4.684
09 Apr,13:00:02,www.washington.edu,7,146.97.38.49,4.600,4.949,4.541
09 Apr,13:00:02,www.washington.edu,8,146.97.33.5,5.157,5.288,5.227
09 Apr,13:00:02,www.washington.edu,11,62.40.125.18,78.012,79.554,77.415
09 Apr,13:00:02,www.washington.edu,12,163.253.1.116,144.799,144.726,144.425
09 Apr,13:00:02,www.washington.edu,13,163.253.1.9,146.104,145.939,145.555
09 Apr,13:00:02,www.washington.edu,14,163.253.1.139,143.988,146.417,146.368
09 Apr,13:00:02,www.washington.edu,15,163.253.2.17,145.994,147.107,147.060
09 Apr,13:00:02,www.washington.edu,16,163.253.2.74,145.138,145.535,145.491
09 Apr,13:00:02,www.washington.edu,17,163.253.1.245,146.604,146.040,146.649
09 Apr,13:00:02,www.washington.edu,18,163.253.1.242,147.215,145.723,145.847
09 Apr,13:00:02,www.washington.edu,19,163.253.1.171,146.096,146.049,145.983
09 Apr,13:00:02,www.washington.edu,20,163.253.1.157,145.949,145.360,145.315
09 Apr,13:00:02,www.washington.edu,21,64.57.28.54,143.101,143.013,142.983
09 Apr,13:00:02,www.washington.edu,25,128.95.0.66,143.742,146.702,146.266
09 Apr,13:00:02,www.bijt.net,1,192.168.25.1,0.552,0.492,0.422
09 Apr,13:00:02,www.bijt.net,2,139.222.0.1,4.219,7.215,10.444
09 Apr,13:00:02,www.bijt.net,3,10.0.0.1,4.075,6.989,9.996
09 Apr,13:00:02,www.bijt.net,4,193.62.92.125,1.333,1.250,1.197
09 Apr,13:00:02,www.bijt.net,5,10.11.1.0,1.745,1.670,1.607
09 Apr,13:00:02,www.bijt.net,6,146.97.141.116,4.279,4.458,4.272
09 Apr,13:00:02,www.bijt.net,7,146.97.38.49,4.657,4.561,4.505
09 Apr,13:00:02,www.bijt.net,8,146.97.33.61,4.669,4.790,4.734
09 Apr,13:00:02,www.bijt.net,9,146.97.35.194,4.687,4.703,4.645
09 Apr,13:00:02,www.bijt.net,10,212.187.216.237,4.903,4.985,4.835
09 Apr,13:00:02,www.bijt.net,12,130.117.15.37,5.914,5.273,5.446
09 Apr,13:00:02,www.bijt.net,14,154.54.75.150,5.978,5.932,5.971
09 Apr,13:00:02,www.bijt.net,15,154.54.95.101,75.001,74.953,75.077
09 Apr,13:00:02,www.bijt.net,16,154.54.30.121,79.426,79.383,79.332
09 Apr,13:00:02,www.bijt.net,19,154.54.41.53,112.870,112.651,112.603
09 Apr,13:00:02,www.bijt.net,20,154.54.165.30,134.472,134.014,134.393
09 Apr,13:00:02,www.bijt.net,21,154.54.166.58,133.885,133.963,133.462
09 Apr,13:00:02,www.bijt.net,22,154.54.45.162,140.411,139.101,139.709
09 Apr,13:00:02,www.bijt.net,23,154.54.27.118,139.799,139.197,139.083
09 Apr,13:00:02,www.bijt.net,24,154.54.86.41,137.248,137.022,136.989
09 Apr,13:00:02,www.bijt.net,25,38.104.84.15,143.328,143.580,143.512
09 Apr,13:00:02,www.bijt.net,26,104.171.226.68,143.063,143.030,143.011
09 Apr,13:00:02,www.bijt.net,27,172.80.0.167,142.456,142.313,142.388
09 Apr,13:00:02,www.ntua.gr,1,192.168.25.1,0.992,0.932,0.884
09 Apr,13:00:02,www.ntua.gr,2,139.222.0.1,9.560,6.659,12.455
09 Apr,13:00:02,www.ntua.gr,3,10.0.0.1,10.718,4.158,7.119
09 Apr,13:00:02,www.ntua.gr,4,193.62.92.125,1.676,1.629,1.542
09 Apr,13:00:02,www.ntua.gr,5,10.11.1.0,1.660,1.594,1.544
09 Apr,13:00:02,www.ntua.gr,6,146.97.141.116,4.319,4.595,4.529
09 Apr,13:00:02,www.ntua.gr,7,146.97.38.49,5.548,5.559,5.498
09 Apr,13:00:02,www.ntua.gr,8,146.97.33.5,7.318,7.135,7.205
09 Apr,13:00:02,www.ntua.gr,14,62.40.124.43,50.574,50.799,50.833
09 Apr,13:00:02,www.ntua.gr,15,62.217.100.72,60.198,60.393,60.526
09 Apr,13:00:02,www.ntua.gr,16,62.217.96.169,69.726,61.237,61.284
09 Apr,13:00:02,www.harenet.ad.jp,1,192.168.25.1,1.012,0.931,0.867
