timestamp,target,destination_ip,hop_number,ip_address,rtt1_ms,rtt2_ms,rtt3_ms
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,1,192.168.25.1,0.598,0.402,0.403
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,2,139.222.0.1,3.999,7.209,10.214
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,3,10.0.0.1,7.738,4.372,10.842
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,4,193.62.92.125,1.266,1.192,1.133
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,5,10.11.1.0,1.465,1.402,1.428
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,6,146.97.141.116,4.303,4.753,4.684
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,7,146.97.38.49,4.600,4.949,4.541
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,8,146.97.33.5,5.157,5.288,5.227
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,9,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,10,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,11,62.40.125.18,78.012,79.554,77.415
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,12,163.253.1.116,144.799,144.726,144.425
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,13,163.253.1.9,146.104,145.939,145.555
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,14,163.253.1.139,143.988,146.417,146.368
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,15,163.253.2.17,145.994,147.107,147.060
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,16,163.253.2.74,145.138,145.535,145.491
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,17,163.253.1.245,146.604,146.040,146.649
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,18,163.253.1.242,147.215,145.723,145.847
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,19,163.253.1.171,146.096,146.049,145.983
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,20,163.253.1.157,145.949,145.360,145.315
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,21,64.57.28.54,143.101,143.013,142.983
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,22,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,23,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,24,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,25,128.95.0.66,143.742,146.702,146.266
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,26,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,27,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,28,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,29,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.washington.edu,128.208.60.208,30,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,1,192.168.25.1,0.552,0.492,0.422
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,2,139.222.0.1,4.219,7.215,10.444
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,3,10.0.0.1,4.075,6.989,9.996
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,4,193.62.92.125,1.333,1.250,1.197
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,5,10.11.1.0,1.745,1.670,1.607
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,6,146.97.141.116,4.279,4.458,4.272
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,7,146.97.38.49,4.657,4.561,4.505
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,8,146.97.33.61,4.669,4.790,4.734
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,9,146.97.35.194,4.687,4.703,4.645
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,10,212.187.216.237,4.903,4.985,4.835
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,11,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,12,130.117.15.37,5.914,5.273,5.446
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,13,154.54.76.30,5.713,6.484,
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,14,154.54.75.150,5.978,5.932,5.971
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,15,154.54.95.101,75.001,74.953,75.077
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,16,154.54.30.121,79.426,79.383,79.332
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,17,154.54.172.170,92.947,,
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,18,154.54.40.110,112.713,,
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,19,154.54.41.53,112.870,112.651,112.603
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,20,154.54.165.30,134.472,134.014,134.393
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,21,154.54.166.58,133.885,133.963,133.462
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,22,154.54.45.162,140.411,139.101,139.709
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,23,154.54.27.118,139.799,139.197,139.083
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,24,154.54.86.41,137.248,137.022,136.989
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,25,38.104.84.15,143.328,143.580,143.512
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,26,104.171.226.68,143.063,143.030,143.011
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,27,172.80.0.167,142.456,142.313,142.388
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,28,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,29,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.bijt.net,104.167.84.47,30,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,1,192.168.25.1,0.992,0.932,0.884
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,2,139.222.0.1,9.560,6.659,12.455
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,3,10.0.0.1,10.718,4.158,7.119
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,4,193.62.92.125,1.676,1.629,1.542
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,5,10.11.1.0,1.660,1.594,1.544
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,6,146.97.141.116,4.319,4.595,4.529
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,7,146.97.38.49,5.548,5.559,5.498
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,8,146.97.33.5,7.318,7.135,7.205
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,9,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,10,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,11,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,12,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,13,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,14,62.40.124.43,50.574,50.799,50.833
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,15,62.217.100.72,60.198,60.393,60.526
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,16,62.217.96.169,69.726,61.237,61.284
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,17,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,18,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,19,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,20,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,21,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,22,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,23,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,24,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,25,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,26,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,27,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,28,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,29,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.ntua.gr,147.102.224.101,30,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,1,192.168.25.1,1.012,0.931,0.867
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,2,139.222.0.1,4.695,7.627,10.516
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,3,10.0.0.1,5.154,14.841,17.864
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,4,193.62.92.125,1.456,1.354,1.241
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,5,10.11.1.0,1.424,1.346,1.516
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,6,146.97.141.116,4.271,4.855,4.783
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,7,146.97.38.49,4.684,7.963,7.865
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,8,146.97.33.61,5.187,5.124,4.934
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,9,146.97.35.194,5.198,5.119,4.697
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,10,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,11,62.115.142.244,6.514,7.350,6.333
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,12,62.115.139.142,5.041,4.963,5.189
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,13,62.115.133.239,11.810,12.247,11.884
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,14,62.115.136.235,24.639,24.589,23.309
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,15,62.115.140.51,159.016,160.815,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,16,62.115.141.221,168.996,229.678,225.460
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,17,62.115.140.25,226.362,227.690,233.573
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,18,62.115.140.25,232.551,248.842,253.334
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,19,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,20,211.125.114.65,244.413,244.175,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,21,211.125.114.70,244.593,244.456,254.151
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,22,211.125.114.74,247.395,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,23,211.125.114.65,244.374,249.045,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,24,103.14.13.3,246.873,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,25,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,26,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,27,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,28,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,29,*,,,
Wed 09 Apr 13:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,30,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,1,192.168.25.1,0.535,0.467,0.549
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,2,139.222.0.1,4.174,13.579,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,3,10.0.0.1,20.300,16.987,28.726
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,4,193.62.92.125,1.233,1.275,1.203
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,5,10.11.1.0,1.358,1.497,1.434
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,6,146.97.141.116,4.127,4.279,4.221
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,7,146.97.38.49,6.104,5.309,5.153
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,8,146.97.33.61,4.812,4.724,4.607
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,9,72.14.205.74,4.464,4.609,4.444
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,10,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,11,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,12,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,13,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,14,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,15,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,16,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,17,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,18,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,19,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,20,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,21,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,22,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,23,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,24,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,25,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,26,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,27,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,28,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,29,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.washington.edu,34.82.219.4,30,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,1,192.168.25.1,1.236,1.186,1.147
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,2,139.222.0.1,4.667,7.949,10.352
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,3,10.0.0.1,4.916,8.002,12.192
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,4,193.62.92.125,1.985,1.950,1.882
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,5,10.11.1.0,2.164,2.126,2.090
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,6,146.97.141.116,4.556,5.046,4.996
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,7,146.97.38.49,4.942,5.075,4.847
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,8,146.97.33.61,4.957,4.736,4.847
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,9,146.97.35.194,4.797,4.792,5.050
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,10,212.187.216.237,5.362,5.890,5.830
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,11,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,12,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,13,154.54.76.30,7.162,7.229,7.387
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,14,154.54.75.150,5.769,5.743,5.795
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,15,154.54.167.69,74.503,74.710,74.853
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,16,154.54.170.69,79.164,79.208,79.256
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,17,154.54.172.170,92.898,92.569,92.711
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,18,154.54.40.110,112.830,112.505,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,19,154.54.40.249,112.144,112.197,112.340
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,20,154.54.165.26,134.673,134.574,134.118
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,21,154.54.166.58,133.996,133.477,133.802
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,22,154.54.44.86,139.037,140.396,139.131
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,23,154.54.27.118,139.135,139.174,139.309
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,24,154.54.86.41,137.358,136.628,137.235
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,25,38.104.84.15,143.749,143.436,144.256
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,26,104.171.226.68,143.072,142.883,142.846
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,27,172.80.0.167,142.454,142.520,142.461
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,28,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,29,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,30,*,,,
